id,comapny_name,parent_name
3,Al SHAMIYA CHOOWY GHOOWY,DAN FOOD GROUP COMPANIES
4,REVIERA CATERING,DAN FOOD GROUP COMPANIES
5,DAN PARENT COMPANIES,DAN FOOD GROUP COMPANIES
6,Al ATTA Company,DAN FOOD GROUP COMPANIES
7,R V (REAL VEAL) BURGER,DAN PARENT COMPANIES
8,R.V Ardiya,R V (REAL VEAL) BURGER
9,R.V Qurain,R V (REAL VEAL) BURGER
10,Dan Head Office,DAN FOOD GROUP COMPANIES
11,CG BAKERIES DIVISION,Al SHAMIYA CHOOWY GHOOWY
12,CG Hawally Bakery,CG BAKERIES DIVISION
13,CG Avenues Bakery,CG BAKERIES DIVISION
14,CG Promonade Bakery,CG BAKERIES DIVISION
15,CG RESTAURANT DIVISION,Al SHAMIYA CHOOWY GHOOWY
16,Rev. CATERING DIVISION,REVIERA CATERING
17,CG Jar Sahara Restaurant,CG RESTAURANT DIVISION
18,JAR by CG Avenues ,JAR JV DIVISION
19,JAR JV DIVISION,Al SHAMIYA CHOOWY GHOOWY
21,CG Village Restaurant,CG RESTAURANT DIVISION
22,Rev. BAKERY DIVISION,REVIERA CATERING
23,Rev. RENTING DIVISION,REVIERA CATERING
24,FUEL SUPERFOODS,DAN PARENT COMPANIES
25,FS Consulting,FUEL SUPERFOODS
26,FS Food delivery,FUEL SUPERFOODS
27,SATELLITE KITCHENS,DAN PARENT COMPANIES
28,Satellite Salmiya,SATELLITE KITCHENS
29,Satellite Kuwait City,SATELLITE KITCHENS
30,Satellite Mahboula,SATELLITE KITCHENS
,,FS Consulting
,,FS Food delivery
,,CG Jar Sahara Restaurant
,,CG Hawally Bakery
,,Dan Head Office
,,JAR by CG Avenues 
,,CG Avenues Bakery
,,CG Village Restaurant
,,R.V Ardiya
,,Satellite Salmiya
,,Satellite Mahboula
,,Al ATTA Company
,,Satellite Kuwait City
,,Rev. CATERING DIVISION
,,Rev. RENTING DIVISION
,,Rev. BAKERY DIVISION
,,CG Promonade Bakery
,,R.V Qurain
