id,name,sale_ok,purchase_ok,uom,list_price,default_code,pos_category,product_category
2759,Light Coke لايت كوكاكولا,true,false,Pcs,0.5,3852,RV / CHKN Ardhiya* / CHKN / Drinks,Inventory Items
2760, Sprite سبرايت ,true,false,Pcs,0.5,3853,RV / CHKN Ardhiya* / CHKN / Drinks,Inventory Items
1010,Nutella Cookies Jar جار كوكيز نوتيلا,true,false,Pcs,4.5,4049,Choowy Goowy Bakery / Cookies Jar,Inventory Items
905,Double RV Burger دبل ارفي برغر,true,false,Pcs,2.95,3004,RV Burger / Burger,Inventory Items
1036,White Choc with Pecans & Raspberry Piece شوكولا بيضاء مع البيكان والرازبري حبة,true,false,Pcs,0.5,4068,Choowy Goowy Bakery / Cookies Piece,Inventory Items
2283,Coke*,true,false,Pcs,0.75,4357,Choowy Goowy Cafe / Cold Drinks,Inventory Items
2282,Cammomile Tea*,true,false,Pcs,1.1,4356,Choowy Goowy Cafe / Hot Drinks,Inventory Items
2298,Plain Cookies Jar*,true,false,Pcs,3,4206,Choowy Goowy Cafe / Cookie Jar,Inventory Items
2762,House Sauce,true,false,Pcs,0.25,3901,RV / CHKN Ardhiya* / CHKN / Sauces,Inventory Items
2783,Delivery Charge رسوم توصيل,true,false,Pcs,0.25,3958,RV / CHKN Ardhiya* / Delivery Charge,Inventory Items
2775,Arugula Salad سلطة جرجير ,true,false,Pcs,1.45,3802,RV / CHKN Ardhiya* / CHKN / Salad,Inventory Items
2764,Siracha Chipotle,true,false,Pcs,0.25,3903,RV / CHKN Ardhiya* / CHKN / Sauces,Inventory Items
2772,Sriracha Chipotle,true,false,Pcs,0,3661,RV / CHKN Ardhiya* / CHKN / Combo Meals,Inventory Items
2777,Breast ,true,false,Pcs,0,3954,RV / CHKN Ardhiya* / CHKN / Modifier,Inventory Items
2778,Thigh ,true,false,Pcs,0,3955,RV / CHKN Ardhiya* / CHKN / Modifier,Inventory Items
1155,Scones,true,,Pcs,0,5343,JAR / Breakfast,Inventory Items
1798,Extra Jalapeno ذيادة فلفل حار,true,,Pcs,,6755,Satellite / CGR / Extras,Inventory Items
2296,Iced-Latte*,true,false,Pcs,1.5,4367,Choowy Goowy Cafe / Cold Drinks,Inventory Items
2804,Double RV Burger دبل ارفي برغر ,true,false,Pcs,2.95,30004,RV / CHKN Ardhiya* / RV Burger* / Burger,Inventory Items
732,Cookie dough Sticker 8x3.2cm,false,true,Pc(1$s),0.01,PI-147,,Inventory Items / [PI]Paper Items
313,Mesclun (Mix Green Salad Leaves),false,true,Pack(1$s),0,FV-172,,Inventory Items / [FV]Fruits & Vegetable
1772,No Pickles,true,,Pcs,,6720,Satellite / CGR / Modifier,Inventory Items
2829,Extra Lettuce زيادة خس ,true,false,Pcs,0.1,31091,RV / CHKN Ardhiya* / RV Burger* / Sliders,Inventory Items
2284,Diet Coke*,true,false,Pcs,0.75,4358,Choowy Goowy Cafe / Cold Drinks,Inventory Items
2763,Butter Milk Ranch,true,false,Pcs,0.25,3902,RV / CHKN Ardhiya* / CHKN / Sauces,Inventory Items
891,Yellow Pad A4,false,true,Pad(1$s),0,ST-197,,Inventory Items / [ST]Stationaries
879,Toner 12A,false,true,Pc(1$s),0,ST-185,,Inventory Items / [ST]Stationaries
2285,Sprite*,true,false,Pcs,0.75,4359,Choowy Goowy Cafe / Cold Drinks,Inventory Items
2286,Fanta Orange*,true,false,Pcs,0.75,4360,Choowy Goowy Cafe / Cold Drinks,Inventory Items
2300,Iced-Americano*,true,false,Pcs,1.3,4370,Choowy Goowy Cafe / Cold Drinks,Inventory Items
2870,Extra Parmesan Cheese زيادة جبنة بارميزان ,true,false,Pcs,0.15,34014,RV / CHKN Ardhiya* / RV Burger* / Extra,Inventory Items
2876,Extra Spicy RV Sauce  زيادة صلصة أرفي سبايسي ,true,false,Pcs,0.1,34020,RV / CHKN Ardhiya* / RV Burger* / Extra,Inventory Items
2302,Oreo Cookies Jar*,true,false,Pcs,4,4207,Choowy Goowy Cafe / Cookie Jar,Inventory Items
1033,Raisin Cookies Piece كوكيز بالزبيب حبة,true,false,Pcs,0.35,4044,Choowy Goowy Bakery / Cookies Piece,Inventory Items
2765,Buffalo Sauce,true,false,Pcs,0.25,3904,RV / CHKN Ardhiya* / CHKN / Sauces,Inventory Items
2766,Garlic Aioli,true,false,Pcs,0.25,3905,RV / CHKN Ardhiya* / CHKN / Sauces,Inventory Items
2768,Honey Mustard,true,false,Pcs,0.25,3907,RV / CHKN Ardhiya* / CHKN / Sauces,Inventory Items
1001,Toffee Jar توفي جار,true,false,Pcs,4,4026,Choowy Goowy Bakery / Cookies Jar,Inventory Items
2287,Toffee Jar*,true,false,Pcs,4,4203,Choowy Goowy Cafe / Cookie Jar,Inventory Items
1002,White Chocolate Macadamia Jar شوكولاتة بيضاء ماكاديميا جار,true,false,Pcs,3.5,4029,Choowy Goowy Bakery / Cookies Jar,Inventory Items
1156,Chicken Mushroom Fettucine,true,false,Pcs,4.5,5390,JAR / Main Course,Inventory Items
2289,Fanta Strawberry*,true,false,Pcs,0.75,4361,Choowy Goowy Cafe / Cold Drinks,Inventory Items
2291,Lemonade*,true,false,Pcs,1.5,4363,Choowy Goowy Cafe / Cold Drinks,Inventory Items
1020,Valentine Cookie Jar فالنتاين كوكيز جار,true,false,Pcs,6,4085,Choowy Goowy Bakery / Cookies Jar,Inventory Items
1157,Oozing Chicken,true,,Pcs,4.5,5391,JAR / Main Course,Inventory Items
2770,House Sauce ,true,false,Pcs,0,3659,RV / CHKN Ardhiya* / CHKN / Combo Meals,Inventory Items
2771,Buttermilk Ranch,true,false,Pcs,0,3660,RV / CHKN Ardhiya* / CHKN / Combo Meals,Inventory Items
2288,Rocky Road Jar*,true,false,Pcs,4,4204,Choowy Goowy Cafe / Cookie Jar,Inventory Items
1876,Gouda Cheese Mild,false,true,Kg(1$s),0,D-154,,Inventory Items
1044,White Chocolate Macadamia Box شوكولاتة بيضاء ماكاديميا بوكس,true,false,Pcs,3,4030,Choowy Goowy Bakery / Cookies Box,Inventory Items
2294,Red Bull*,true,false,Pcs,0.95,4366,Choowy Goowy Cafe / Cold Drinks,Inventory Items
2290,Orange Juice*,true,false,Pcs,1.5,4362,Choowy Goowy Cafe / Cold Drinks,Inventory Items
2295,Peanut Butter Jar*,true,false,Pcs,3.5,4205,Choowy Goowy Cafe / Cookie Jar,Inventory Items
2299,Iced-Mocha*,true,false,Pcs,1.5,4369,Choowy Goowy Cafe / Cold Drinks,Inventory Items
687,10 Years Anniversary Sticker Yellow,false,true,Pc(1$s),0.05,PI-102,,Inventory Items / [PI]Paper Items
692,Alluminum Container 8325 (Small),false,true,Pc(1$s),0.01,PI-107,,Inventory Items / [PI]Paper Items
679,White Oats,false,true,Can(1$s),0,OF-358,,Inventory Items / [OF]Other Foods
2773,Garlic Aioli ,true,false,Pcs,0,3662,RV / CHKN Ardhiya* / CHKN / Combo Meals,Inventory Items
1045,Rocky Road Box روكي رود بوكس,true,false,Pcs,3.5,4033,Choowy Goowy Bakery / Cookies Box,Inventory Items
2292,Icelandic Water*,true,false,Pcs,0.95,4364,Choowy Goowy Cafe / Cold Drinks,Inventory Items
2774,BBQ Ranch ,true,false,Pcs,0,3663,RV / CHKN Ardhiya* / CHKN / Combo Meals,Inventory Items
1669,Mushroom Potato Gratin مشروم بطاطا جراتان,true,,Pcs,1.5,6522,Satellite / CGR / Appetizzers,Inventory Items
2795,Honey Mustard,true,false,Pcs,0,3664,RV / CHKN Ardhiya* / CHKN / Combo Meals,Inventory Items
2293,S Pellegrino Water*,true,false,Pcs,0.75,4365,Choowy Goowy Cafe / Cold Drinks,Inventory Items
2729,Tender Strips Original (1pc) شرائح الاوريجينال ,true,false,Pcs,0.45,3603,RV / CHKN Ardhiya* / CHKN / Chicken,Inventory Items
2796,Buffalo Sauce,true,false,Pcs,0,3665,RV / CHKN Ardhiya* / CHKN / Combo Meals,Inventory Items
2790,Fanta Orange فانتا برتقال ,true,false,Pcs,0.5,6955,Satellite / CHKN / Beverages,Inventory Items
2792,.500 Delivery Charge بدل توصيل,true,false,Pcs,0.5,3959,RV / CHKN Ardhiya* / Delivery Charge,Inventory Items
2800,Mode of Payment: Cash,true,false,Pcs,0,,RV / CHKN Ardhiya* / MODE OF PAYMENT,Inventory Items
2794,Mix,true,false,Pcs,0,3957,RV / CHKN Ardhiya* / CHKN / Modifier,Inventory Items
2807,Mushroom Swiss Burger مشروم سويس برغر ,true,false,Pcs,2.75,30007,RV / CHKN Ardhiya* / RV Burger* / Burger,Inventory Items
999,Choowy Light Jar شووي خفيف جار,false,false,Pcs,3,4016,Choowy Goowy Bakery / Cookies Jar,Inventory Items
1032,Cinnamon Cookies Piece كوكيز بالقرفة حبة,true,false,Pcs,0.3,4041,Choowy Goowy Bakery / Cookies Piece,Inventory Items
689,2oz Clear Cups/Lids,false,true,Pc(1$s),0.007,PI-104,,Inventory Items / [PI]Paper Items
2297,Iced-Salted Caramel*,true,false,Pcs,1.5,4368,Choowy Goowy Cafe / Cold Drinks,Inventory Items
1038,Chocolate Chip Box شوكليت شيبس بوكس,true,false,Pcs,2.5,4002,Choowy Goowy Bakery / Cookies Box,Inventory Items
2303,Ice Espresso*,true,false,Pcs,1.75,4373,Choowy Goowy Cafe / Cold Drinks,Inventory Items
1024,Double Chocolate Piece دبل شوكليت حبة,true,false,Pcs,0.35,4008,Choowy Goowy Bakery / Cookies Piece,Inventory Items
1028,Toffee Piece توفي حبة,true,false,Pcs,0.35,4028,Choowy Goowy Bakery / Cookies Piece,Inventory Items
1031,Dates Cookies Piece كوكيز بالتمر حبة,true,false,Pcs,0.35,4037,Choowy Goowy Bakery / Cookies Piece,Inventory Items
1046,Dates Cookies Box كوكيز بالتمر بوكس,true,false,Pcs,3.5,4036,Choowy Goowy Bakery / Cookies Box,Inventory Items
1034,Milk Chocolate Piece كوكيز شوكولا بالحليب حبة,true,false,Pcs,0.5,4063,Choowy Goowy Bakery / Cookies Piece,Inventory Items
2301,Iced-Cold Brew*,true,false,Pcs,1.75,4371,Choowy Goowy Cafe / Cold Drinks,Inventory Items
2860,Extra Caramelized Onion اكسترا بصل مشوي,true,false,Pcs,0.25,34004,RV / CHKN Ardhiya* / RV Burger* / Extra,Inventory Items
2797,House Slaw,true,false,Pcs,0,3666,RV / CHKN Ardhiya* / CHKN / Combo Meals,Inventory Items
2853,Still Water مياه معدنية ,true,false,Pcs,0.65,33055,RV / CHKN Ardhiya* / RV Burger* / Drinks,Inventory Items
2801,Chicken Burger  برغر الدجاج ,true,false,Pcs,1.95,30001,RV / CHKN Ardhiya* / RV Burger* / Burger,Inventory Items
2803,Diet Ninja Burger دايت نينجا برغر ,true,false,Pcs,2.65,30003,RV / CHKN Ardhiya* / RV Burger* / Burger,Inventory Items
