,name,sale_ok,purchase_ok,uom,price,default_code,pos_category@sales,internal @accounting,uom_pos_id,,available_in_pos
,.250 Delivery Charges رسوم توصيل,true,false,Pcs,0.25,4301,Main,Inventory Items,1,,true
,3 Cheese Sandwich*,true,false,Pcs,1.85,4301,Main,Inventory Items,1,,true
,3pc Chicken Mix,true,false,Pcs,0,6931,Main,Inventory Items,1,,true
,Less Spicy,true,,Pcs,,5201,Main,Inventory Items,1,,true
,.500 Delivery Charge,true,,Pcs,0.5,5240,Main,Inventory Items,1,,true
,.500 Delivery Charges توصيل,true,false,Pcs,0.5,4110,Main,Inventory Items,1,,true
,.500 Delivery Charge بدل توصيل,true,false,Pcs,0.5,3551,Main,Inventory Items,1,,true
,Delivery Charge,true,false,Pcs,1,5999,Main,Inventory Items,1,,true
,Delivery Charge رسوم توصيل,true,,Pcs,0.5,6740,Main,Inventory Items,1,,true
,No Chili,true,,Pcs,,5208,Main,Inventory Items,1,,true
,No Cream,true,,Pcs,,5209,Main,Inventory Items,1,,true
,No Croutons,true,,Pcs,,5210,Main,Inventory Items,1,,true
,Less Sugar,true,,Pcs,,5202,Main,Inventory Items,1,,true
,No Garlic,true,,Pcs,,5211,,Inventory Items,1,,true
,Red Wine Mer (FRE),false,true,Bottle(1's),0,B-125,Main,Inventory Items,117,,true
,Cut,true,,Pcs,0,5056,Main,Inventory Items,1,,true
,SP Water (24x250ml),false,true,Bottle(1's),0,B-126,Main,Inventory Items,121,,true
,No Ice,true,,Pcs,,5212,Main,Inventory Items,1,,true
,Extra Bread Crumbs,true,,Pcs,,6745,Main,Inventory Items,1,,true
,The Jar ذا جار,true,,Pcs,3,6826,Main,Inventory Items,1,,true
,Okra Frozen,false,true,Case20,0,F-136,Main,Inventory Items,242,,true
,No Jalapeno,true,,Pcs,,5213,Main,Inventory Items,1,,true
,Potato Wedges,false,true,Case4,0,F-137,Main,Inventory Items,275,,true
,No Lettuce,true,,Pcs,,5214,Main,Inventory Items,1,,true
,Chilli Arabic Green,false,true,Kg(1's),0.4,FV-133,Main,Inventory Items,144,,true
,Cookies Shot W Milk*,true,false,Pcs,2,4242,Main,Inventory Items,1,,true
,Mini jar Kinder Chogos*,true,false,Jar,2,4274,Main,Inventory Items,384,,true
,Kimchi Base,false,true,Bottle(1's),0,OF-447,Main,Inventory Items,117,,true
,Miscellaneous,true,false,Pcs,18,MISC,Main,Inventory Items,1,,true
,Extra Toast Bread,true,,Pcs,0.25,5273,Main,Inventory Items,1,,true
,Cut,true,,Pcs,0,6584,Main,Inventory Items,1,,true
,Less Sauce,true,,Pcs,,6700,Main,Inventory Items,1,,true
,Oreo Cookies اوريو,true,,Pcs,3.4,6837,Main,Inventory Items,1,,true
,House Sauce,false,true,Kg(1's),0,S-126,Main,Inventory Items,144,,true
,THE JAR*,true,false,Pcs,3.5,4258,Main,Inventory Items,1,,true
,Acqua panna ( 24x500ml),false,true,Bottle(1's),0,B-101,Main,Inventory Items,121,,true
