name,rounding,factor,uom_type,display_precision
Case40,0.01,0.025,bigger,0.01
ML(250's),0.01,250,bigger,0.01
Bag(50's),0.01,0.02,bigger,0.01
Gram(50's),0.01,50,bigger,0.01
Case20,0.01,0.05,bigger,0.01
Gram(500's),0.01,500,bigger,0.01
Tin(10's),0.01,0.1,bigger,0.01
Gram(480's),0.01,480,bigger,0.01
Case6,0.01,0.166667,bigger,0.01
Case12,0.01,0.083333,bigger,0.01
Case24,0.01,0.041667,bigger,0.01
ML(400's),0.01,400,bigger,0.01
Gram(900's),0.01,900.00009,bigger,0.01
Kg(5.5's),0.01,5.500002,bigger,0.01
Case(9.6's),0.01,0.104167,bigger,0.01
Kg(3.5's),0.01,3.5,bigger,0.01
Bag(3.5's),0.01,0.285714,bigger,0.01
Gram(400's),0.01,400,bigger,0.01
Can(1.36's),0.01,0.735294,bigger,0.01
Pail(12's),0.01,0.083333,bigger,0.01
Gram(227's),0.01,226.75737,bigger,0.01
Case(400's),0.01,0.0025,bigger,0.01
Gram(72's),0.01,72,bigger,0.01
Gram(350's),0.01,350.000007,bigger,0.01
Case25,0.01,0.04,bigger,0.01
Kg(2.3's),0.01,2.3,bigger,0.01
Pail(5's),0.01,0.2,bigger,0.01
Cont.(17.1),0.01,1,bigger,0.01
Pc(10's),0.01,10,bigger,0.01
Gram(910's),0.01,910.000007,bigger,0.01
Gram(750's),0.01,750,bigger,0.01
Tin(20's),0.01,0.05,bigger,0.01
Litter(20's),0.01,20,bigger,0.01
Pail(10's),0.01,0.1,bigger,0.01
Can(3.15's),0.01,0.31746,bigger,0.01
Gram(226's),0.01,226,bigger,0.01
ML(185's),0.01,185,bigger,0.01
Gram(907's),0.01,907.000002,bigger,0.01
Pc(6's),0.01,6,bigger,0.01
Gram(370's),0.01,370,bigger,0.01
Kg(0.700's),0.01,0.700001,bigger,0.01
Bag(15's),0.01,0.066667,bigger,0.01
Bottle(1's),0.01,1,bigger,0.01
Kg(2.27kg),0.01,2.27,bigger,0.01
