categ_id/id,default_code,valuation,name,pos_categ_id/id,type,product_variant_ids/id,lst_price,uom_po_id/id,list_price,sequence,uom_id/id,uos_coeff
__export__.product_category_28,,Periodical (manual),.250 Delivery Charge,__export__.pos_category_38,Stockable Product,__export__.product_product_2449,0.25,product.product_uom_unit,0.25,1,product.product_uom_unit,1
__export__.product_category_29,6930,Real Time (automated),2pc Chicken Mix,__export__.pos_category_97,Stockable Product,__export__.product_product_2337,0,product.product_uom_unit,0,1,product.product_uom_unit,1
__export__.product_category_31,4301,Real Time (automated),3 Cheese Sandwich*,__export__.pos_category_80,Stockable Product,__export__.product_product_2165,1.85,product.product_uom_unit,1.85,1,product.product_uom_unit,1
__export__.product_category_29,6931,Real Time (automated),3pc Chicken Mix,__export__.pos_category_97,Stockable Product,__export__.product_product_2338,0,product.product_uom_unit,0,1,product.product_uom_unit,1
__export__.product_category_29,6932,Real Time (automated),6pc Chicken finger Mix,__export__.pos_category_97,Stockable Product,__export__.product_product_2339,0,product.product_uom_unit,0,1,product.product_uom_unit,1
__export__.product_category_26,5533,Real Time (automated),6 pcs Cookie Molten,__export__.pos_category_25,Stockable Product,__export__.product_product_2486,6.5,product.product_uom_unit,6.5,1,product.product_uom_unit,1
__export__.product_category_26,5533,Real Time (automated),6 pcs Cookie Molten (copy),__export__.pos_category_25,Stockable Product,__export__.product_product_2487,6.5,product.product_uom_unit,6.5,1,product.product_uom_unit,1
__export__.product_category_29,6218,Real Time (automated),Add Veal Patty زيادة لحم العجل,__export__.pos_category_47,Stockable Product,__export__.product_product_1645,1,product.product_uom_unit,1,1,product.product_uom_unit,1
__export__.product_category_31,4420,Real Time (automated),Al-Fajor Bites*,__export__.pos_category_79,Stockable Product,__export__.product_product_2272,1,product.product_uom_unit,1,1,product.product_uom_unit,1
__export__.product_category_26,5412,Real Time (automated),American Burger,__export__.pos_category_22,Stockable Product,__export__.product_product_1161,3.45,product.product_uom_unit,3.45,1,product.product_uom_unit,1
__export__.product_category_26,5514,Real Time (automated),Apple Pistachio Crumble,__export__.pos_category_25,Stockable Product,__export__.product_product_1190,3,product.product_uom_unit,3,1,product.product_uom_unit,1
__export__.product_category_28,5151,Real Time (automated),Arabic Coffee,__export__.pos_category_37,Stockable Product,__export__.product_product_1464,2,product.product_uom_unit,2,1,product.product_uom_unit,1
__export__.product_category_28,5000,Real Time (automated),Arugula Salad,__export__.pos_category_34,Stockable Product,__export__.product_product_1388,2.95,product.product_uom_unit,2.95,1,product.product_uom_unit,1
__export__.product_category_26,5301,Real Time (automated),Arugula Salad,__export__.pos_category_23,Stockable Product,__export__.product_product_1138,3.25,product.product_uom_unit,3.25,1,product.product_uom_unit,1
__export__.product_category_28,5016,Real Time (automated),Arugula Salad Side,__export__.pos_category_34,Stockable Product,__export__.product_product_1393,1.25,product.product_uom_unit,1.25,1,product.product_uom_unit,1
